label,text
spam,"Special offer for you! Buy one voucher, get one free at bit.ly/freegift."
spam,Congratulations! You have won a free voucher. Claim now at bit.ly/freegift.
spam,Act now! Exclusive deal on TV available at promo.link/redeem.
spam,Don't miss out on big savings! Click tinyurl.com/deal to learn more.
ham,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
ham,Still work going on:)it is very small house.
spam,Hurry! Your iPhone is waiting. Redeem today at tinyurl.com/deal.
spam,Your gift card subscription is about to expire. Renew at promo.link/redeem.
spam,Limited time offer! Get 50% off on iPhone. Visit www.example.com.
spam,Limited time offer! Get 20% off on voucher. Visit tinyurl.com/deal.
spam,"Special offer for you! Buy one laptop, get one free at www.example.com."
ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
ham,Hows the pain dear?y r u smiling?
ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.
spam,Earn $1000 working from home. Sign up today at bit.ly/freegift.
ham,Yes. that will be fine. Love you. Be safe.
spam,Earn $500 working from home. Sign up today at bit.ly/freegift.
spam,Your trip subscription is about to expire. Renew at promo.link/redeem.
ham,Ok pa. Nothing problem:-)
spam,Your trip subscription is about to expire. Renew at bit.ly/freegift.
ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
ham,When did you get to the library
ham,Convey my regards to him
spam,Get a trip for free! Just sign up at tinyurl.com/deal.
spam,"Special offer for you! Buy one gift card, get one free at bit.ly/freegift."
ham,True dear..i sat to pray evening and felt so.so i sms'd you in some time...
spam,Hurry! Your trip is waiting. Redeem today at tinyurl.com/deal.
spam,You've been selected for a bonus. Confirm your details at promo.link/redeem.
spam,Don't miss out on big savings! Click tinyurl.com/deal to learn more.
ham,Tired. I haven't slept well the past few nights.
ham,Yeah sure I'll leave in a min
ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
spam,Earn $500 working from home. Sign up today at tinyurl.com/deal.
ham,Still in the area of the restaurant. Ill try to come back soon
spam,Limited time offer! Get 20% off on iPhone. Visit promo.link/redeem.
ham,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.
spam,Hurry! Your gift card is waiting. Redeem today at bit.ly/freegift.
ham,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive
spam,"Special offer for you! Buy one trip, get one free at www.example.com."
ham,"It's ok, at least armand's still around"
ham,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.
ham,You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm
ham,Oh Howda gud gud.. Mathe en samachara chikku:-)
spam,Don't miss out on cashback! Click promo.link/redeem to learn more.
ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there."
ham,"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well."
spam,Get a TV for free! Just sign up at bit.ly/freegift.
ham,No da..today also i forgot..
ham,"K, I'll work something out"
ham,S...i will take mokka players only:)
ham,"So check your errors and if you had difficulties, do correction."
ham,No need to ke qi... Ü too bored izzit y suddenly thk of this...
ham,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was"
ham,That's significant but dont worry.
spam,Get a voucher for free! Just sign up at promo.link/redeem.
ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
ham,:-( that's not v romantic!
ham,Dear reached railway. What happen to you
ham,Please tell me you have some of that special stock you were talking about
ham,I am on the way to tirupur.
ham,"Sorry, I can't text &amp; drive coherently, see you in twenty"
spam,You've been selected for a bonus. Confirm your details at www.example.com.
ham,Glad to see your reply.
spam,You've been selected for a bonus. Confirm your details at promo.link/redeem.
ham,Some are lasting as much as 2 hours. You might get lucky.
ham,Nope. I just forgot. Will show next week
